KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
1190  258.75   78.39    4.73    1.30  20  11.404   2.952   8.452
1490  275.10   70.12    0.50    0.01  4   6.855   2.104   4.751
1409  275.56   71.52    0.30    0.19  9   7.608   2.621   4.987
1662  268.32   68.55    3.05    0.96  6   9.531   2.220   7.311
1674  252.43   66.59    0.84    0.52  6   8.891   2.160   6.731
4056  294.74   49.24    0.41    0.04  15  15.291   2.609  12.682
1485  282.31   70.21    0.28    0.14  6   6.305   2.465   3.840
4054  293.70   49.18    0.37    0.08  10  16.563   2.304  14.259
1631  280.79   56.66    0.01    0.00  3   3.077   2.330   0.747
4073  300.02   44.10    0.77    1.07  8  12.983   2.937  10.046
1618  291.42   58.01    1.70    0.57  3   7.414   2.394   5.020
4061  294.79   47.50    1.29    0.81  14  14.833   2.588  12.245
1493  272.92   70.42    1.87    0.32  8   9.636   2.990   6.646
1354  255.11   73.46    0.70    0.51  6  10.488   2.582   7.906
4114  285.71   40.41    0.03    0.04  3   8.625   2.041   6.584
1433  289.68   69.89    0.88    0.38  13   9.410   2.717   6.693
1494  270.80   70.98    0.50    0.17  4   8.826   2.557   6.269
4104  286.06   41.30    0.00    0.00  3   4.649   2.579   2.070
1423  281.67   71.88    0.00    0.00  1   2.734   2.734   0.000
1179  269.36   78.29    0.00    0.00  2   3.940   3.768   0.172
1317  262.06   73.97    0.58    0.09  2  10.126   3.716   6.410
1500  272.54   71.15    0.64    0.23  6   8.356   3.277   5.079
5142  289.70   52.67    0.00    0.30  2   6.016   3.803   2.213
1227  264.82   76.34    0.99    0.15  9   9.209   3.121   6.088
1669  262.22   68.37    0.00    0.00  1   3.594   3.594   0.000
1260  245.95   77.88    0.41    0.25  4  12.255   3.551   8.704
1223  268.26   75.63    0.32    0.06  3   8.739   3.616   5.123
1480  282.96   63.52    0.51    0.16  3   8.569   3.362   5.207
1685  232.17   70.44    0.67    0.37  2  10.888   3.296   7.592
2010  286.88   76.72    0.11    0.01  5  10.033   3.562   6.471
1499  273.64   71.12    0.19    0.13  4   7.581   3.211   4.370
1233  265.14   74.72    0.57    0.14  26  10.210   3.575   6.635
1303  269.14   73.97    0.69    0.08  3  10.049   3.883   6.166
4084  291.15   44.25    0.04    0.30  5   9.271   3.471   5.800
1315  262.20   73.37    1.97    0.40  7  10.316   3.066   7.250
1434  289.97   69.60    0.03    0.16  8   8.717   3.001   5.716
1505  270.35   72.60    0.32    0.26  14  10.861   3.464   7.397
1206  269.43   76.50    0.00    0.00  1   3.887   3.887   0.000
1638  277.18   50.22    2.75    0.57  10   8.464   4.673   3.791
1431  291.21   70.44    0.57    0.57  7  11.387   4.670   6.717
1219  268.68   74.65    0.20    0.12  6  10.525   4.683   5.842
1430  288.52   70.07    0.25    0.20  4   8.162   4.035   4.127
4027  300.66   50.99    1.03    0.93  5   8.052   4.189   3.863
1319  261.43   74.03    0.00    0.00  1   4.218   4.218   0.000
1442  291.63   68.55    0.90    0.07  3   8.487   4.058   4.429
1211  274.35   75.56    0.44    0.03  9   8.757   4.173   4.584
1492  273.25   70.07    0.05    0.01  2   6.207   4.720   1.487
1608  300.36   55.22    2.07    0.01  5   8.133   4.214   3.919
1311  263.15   72.32    0.00    0.00  1   4.977   4.977   0.000
1486  280.75   70.57    0.00    0.00  1   4.847   4.847   0.000
1308  262.16   71.65    1.05    0.07  4   9.233   4.815   4.418
1637  281.68   50.55    1.93    0.48  5   7.729   4.227   3.502
1497  274.84   70.84    0.28    0.17  2   7.519   4.801   2.718
4069  299.14   45.95    1.14    0.83  15  16.807   4.015  12.792
1629  280.04   59.82    0.18    0.05  5   8.012   4.593   3.419
1657  276.02   69.73    0.47    0.09  4   6.954   4.080   2.874
1503  270.15   72.05    0.47    0.18  9  10.326   4.928   5.398
1184  268.12   79.16    1.13    0.05  4   9.025   4.950   4.075
1443  293.33   68.24    0.35    0.65  8  10.158   5.802   4.356
1230  265.44   75.79    0.43    0.02  2   9.277   5.738   3.539
4066  297.49   45.92    1.54    0.03  3  10.590   5.440   5.150
1186  269.16   79.39    0.57    0.07  10   9.726   5.963   3.763
1656  274.78   69.38    0.36    0.31  9   9.420   5.250   4.170
1160  274.67   79.87    2.37    1.05  30   9.655   5.570   4.085
1213  276.15   75.78    0.42    0.03  11  10.521   5.130   5.391
1207  269.51   76.17    2.15    0.50  6  10.304   5.143   5.161
1470  293.65   62.36    0.58    0.40  22  10.727   5.399   5.328
1616  295.18   60.42    0.00    0.00  1   5.822   5.822   0.000
1131  281.20   79.07    0.00    0.00  1   5.937   5.937   0.000
1328  255.00   69.13    0.55    0.07  2   8.469   5.243   3.226
1411  274.96   73.05    0.05    0.00  6  18.880   5.828  13.052
1129  284.62   79.15    1.43    0.24  5   8.194   6.810   1.384
1636  282.51   52.05    0.84    1.41  8   8.023   6.740   1.283
1481  282.02   63.35    0.25    0.31  5   8.019   6.426   1.593
1171  271.38   81.06    2.88    0.09  14   9.832   6.013   3.819
1479  283.46   64.31    0.59    0.08  3   8.646   6.577   2.069
1128  283.02   79.44    1.67    0.35  4   7.097   6.679   0.418
1668  263.70   66.13    0.00    0.00  1   6.604   6.604   0.000
1440  290.55   68.87    0.00    0.00  1   6.908   6.908   0.000
1416  280.20   73.07    0.31    0.41  4  11.053   6.689   4.364
1459  294.93   63.73    0.00    0.00  3   9.785   6.268   3.517
1620  292.11   60.52    0.15    0.07  4   8.352   6.102   2.250
