KEY  LON  LAT  LON_lim  LAT_lim  num_datapoint  oldest_age  youngest_age length_age
4088  289.32   42.97    0.35    0.37  5  14.906   8.926   5.980
4021  301.10   48.55    0.66    0.20  8  14.847   8.144   6.703
1161  278.91   79.65    1.15    0.18  6   9.007   8.110   0.897
1160  274.63   79.94    2.37    1.05  24   9.655   8.349   1.306
4075  296.14   45.41    0.92    0.02  3  14.428   8.017   6.411
1162  278.06   79.94    1.04    0.08  3   8.406   8.090   0.316
1163  277.53   80.15    0.50    0.15  3   9.510   8.542   0.968
1174  270.84   80.38    2.42    0.28  6   9.379   8.367   1.012
4074  296.66   44.66    0.68    0.06  6   9.892   8.285   1.607
1164  278.99   80.41    1.80    0.12  8   9.192   8.149   1.043
4112  286.79   40.88    1.23    0.23  4   8.997   8.347   0.650
4110  286.59   40.83    1.22    0.10  3   8.997   8.874   0.123
4107  285.99   40.73    0.00    0.02  5   9.854   8.521   1.333
4108  285.99   40.73    0.00    0.02  5   9.854   8.521   1.333
4109  287.40   41.02    0.00    0.00  1   8.347   8.347   0.000
1165  280.85   80.60    1.05    0.00  3   9.687   8.173   1.514
4093  289.12   41.41    0.27    0.18  4   9.983   8.454   1.529
4094  289.12   41.41    0.27    0.18  4   9.983   8.454   1.529
1173  268.68   80.83    1.53    0.38  3   8.839   8.047   0.792
4114  285.72   40.42    0.03    0.04  2   8.625   8.132   0.493
4117  285.76   39.73    0.18    1.03  7   9.140   8.132   1.008
1171  271.26   81.05    2.86    0.09  12   9.832   8.197   1.635
1170  274.85   81.08    0.15    0.00  2   9.227   8.638   0.589
1172  270.39   81.22    1.22    0.22  3   9.170   8.769   0.401
1686  227.22   69.09    6.29    1.56  7   9.807   8.199   1.608
4073  300.09   44.16    0.02    0.99  5   9.542   8.429   1.113
4115  285.81   39.50    0.23    0.25  4   9.872   8.157   1.715
1102  275.12   81.92    1.69    0.21  13   9.117   8.008   1.109
1687  225.41   69.97    2.50    0.33  6   9.884   8.521   1.363
1101  273.26   81.98    1.75    0.18  6   9.393   8.284   1.109
4121  284.61   39.06    0.00    0.00  1   8.653   8.653   0.000
4120  284.61   39.06    0.00    0.00  1   8.653   8.653   0.000
1103  278.05   82.03    0.00    0.01  3   9.103   8.338   0.765
1104  274.07   82.25    1.25    0.13  4   9.754   8.266   1.488
4118  284.98   38.65    0.00    0.00  1   8.284   8.284   0.000
4012  305.88   47.03    0.00    0.00  1   8.449   8.449   0.000
4011  306.34   46.99    0.08    0.18  2   8.419   8.408   0.011
4123  283.75   38.25    0.18    0.86  4   9.921   8.664   1.257
3054  237.04   49.15    0.98    0.22  33   9.996   8.108   1.888
3051  237.30   49.16    0.80    0.20  5   9.257   8.170   1.087
3049  235.03   49.97    0.10    0.40  3   9.843   8.673   1.170
3050  235.53   49.47    0.20    0.10  3   9.154   8.114   1.040
3038  229.94   54.22    0.35    0.08  8   9.844   8.524   1.320
3043  232.13   51.97    0.01    0.22  2   8.732   8.655   0.077
3035  228.40   55.50    0.00    0.00  1   8.544   8.544   0.000
3061  237.30   47.87    0.00    0.00  1   8.420   8.420   0.000
3027  225.43   58.37    0.18    0.11  6   9.906   8.031   1.875
3036  229.05   54.47    0.00    0.00  1   8.895   8.895   0.000
3057  236.40   48.40    0.30    0.00  3   9.098   8.575   0.523
3044  232.64   51.12    0.30    0.20  5   9.933   8.018   1.915
3032  226.57   56.00    0.52    0.58  9   9.755   8.169   1.586
4129  284.45   35.71    0.39    0.69  5   9.572   8.154   1.418
4127  284.48   36.09    0.39    0.13  2   8.654   8.595   0.059
3025  224.13   58.84    0.00    0.00  1   8.663   8.663   0.000
3047  234.80   48.90    0.00    0.00  2   8.978   8.385   0.593
3033  226.48   55.62    0.00    0.00  2   9.328   8.165   1.163
3041  227.79   53.66    1.27    1.38  11   9.636   8.202   1.434
3034  226.38   55.44    0.05    0.12  3   9.124   8.788   0.336
4010  311.24   46.75    0.00    0.00  1   8.312   8.312   0.000
4128  284.43   35.46    0.00    0.00  3   9.572   8.154   1.418
3060  236.00   46.90    0.00    0.00  3   8.933   8.343   0.590
3022  222.31   58.65    0.13    0.14  2   9.057   8.255   0.802
3042  228.36   52.61    0.64    0.49  32   9.991   8.234   1.757
3065  236.10   45.50    0.00    0.00  1   8.745   8.745   0.000
3066  236.00   44.40    0.00    0.00  1   8.297   8.297   0.000
3016  215.52   60.19    0.00    0.00  1   8.513   8.513   0.000
3017  215.47   60.20    0.00    0.00  1   8.508   8.508   0.000
1660  271.58   67.82    0.00    0.00  1   9.256   9.256   0.000
1463  293.06   63.08    0.10    0.07  3  10.360   9.719   0.641
1471  293.89   62.08    0.10    0.15  13  10.355   9.042   1.313
1458  293.30   64.78    0.00    0.00  1   9.523   9.523   0.000
1457  293.05   65.45    0.00    0.00  1   9.622   9.622   0.000
1664  266.03   71.29    0.81    0.27  3  10.055   9.965   0.090
1445  294.06   67.92    0.43    0.05  4   9.272   9.090   0.182
1504  270.20   71.77    0.00    0.00  1   9.990   9.990   0.000
1437  292.52   69.18    0.60    0.05  2  11.678   9.008   2.670
1310  263.44   72.11    0.12    0.21  3   9.928   9.371   0.557
1309  262.27   72.19    0.31    0.06  3  10.029   9.352   0.677
1325  254.55   72.13    0.00    0.00  1   9.494   9.494   0.000
1321  259.34   73.38    0.42    0.14  4  11.142   9.815   1.327
1214  276.37   74.57    0.48    0.15  19  10.957   9.040   1.917
1216  273.20   74.62    0.00    0.00  1   9.694   9.694   0.000
1215  274.43   74.69    0.02    0.00  2   9.724   9.654   0.070
1221  268.11   75.16    0.24    0.06  2   9.399   9.262   0.137
4037  287.42   46.53    0.78    0.31  10  13.177   9.505   3.672
1222  267.76   75.39    0.00    0.00  1   9.555   9.555   0.000
1208  269.93   75.79    0.00    0.00  1   9.622   9.622   0.000
1230  265.65   75.78    0.00    0.00  1   9.277   9.277   0.000
